Bin	Taxa
13_Jan_SF_Bin36	Pacearchaeota
13_Jan_SF_Bin40	Thaumarchaeota_Nitrosopumilus
13_Jan_SF_Bin52	Thaumarchaeota_Nitrosopumilus
13_Jan_SF_Bin61	Thermoplasmata
13_Jan_SF_Bin63	Thaumarchaeota_Nitrosopumilus
13_July_SF_Bin28	Thaumarchaeota_Nitrosopumilus
13_July_SF_Bin30	Thaumarchaeota_Nitrosopumilus
13_July_SF_Bin33	Thaumarchaeota_Nitrosopumilus
13_July_SF_Bin39	Thaumarchaeota_Nitrosopumilus
13_May_SF_Bin26	Thaumarchaeota_Nitrosopumilus
13_May_SF_Bin47	Thaumarchaeota_Nitrosopumilus
13_May_SF_Bin54	Thaumarchaeota_Nitrosopumilus
13_May_SF_Bin55	Thaumarchaeota_Nitrosopumilus
13_May_SF_Bin67	Thaumarchaeota_Nitrosopumilus
13_May_SF_Bin89	Thaumarchaeota_Nitrosopumilus
13_Oct_SF_Bin27	Thaumarchaeota_Nitrosopumilus
21_Jan_SF_Bin27	Thaumarchaeota_Nitrosopumilus
21_Jan_SF_Bin31	Thaumarchaeota_Nitrosopumilus
21_Jan_SF_Bin36	Thaumarchaeota_Nitrosopumilus
21_Jan_SF_Bin51	Thaumarchaeota_Nitrosopumilus
21_Jan_SF_Bin57	Thaumarchaeota_Nitrosopumilus
21_July_SF_Bin12	Thaumarchaeota_Nitrosopumilus
21_July_SF_Bin24	Thaumarchaeota_Nitrosopumilus
21_July_SF_Bin26	Thaumarchaeota_Nitrosopumilus
21_May_SF_Bin28	Thaumarchaeota_Nitrosopumilus
21_May_SF_Bin40	Thaumarchaeota_Nitrosopumilus
21_May_SF_Bin41	Thaumarchaeota_Nitrosopumilus
21_Oct_SF_Bin16	Thaumarchaeota_Nitrosopumilus
21_Oct_SF_Bin25	Thaumarchaeota_Nitrosopumilus
21_Oct_SF_Bin27	Thaumarchaeota_Nitrosopumilus
4_1_July_SF_Bin26	Thermoplasmata
4_1_July_SF_Bin37	Thorarchaeota
4_1_July_SF_Bin41	Bathyarchaeota
8_1_Jan_SF_Bin101	Bathyarchaeota
8_1_Jan_SF_Bin12	Bathyarchaeota
8_1_Jan_SF_Bin32	Bathyarchaeota
8_1_Jan_SF_Bin36	Aigarchaeota
8_1_Jan_SF_Bin45	Thaumarchaeota_Nitrosopumilus
8_1_Jan_SF_Bin46	Bathyarchaeota
8_1_Jan_SF_Bin48	Bathyarchaeota
8_1_Jan_SF_Bin50	Bathyarchaeota
8_1_Jan_SF_Bin52	Bathyarchaeota
8_1_Jan_SF_Bin55	Bathyarchaeota
8_1_Jan_SF_Bin58	Heimdallarchaeota
8_1_Jan_SF_Bin59	Thaumarchaeota_Nitrosopumilus
8_1_Jan_SF_Bin66	Thaumarchaeota_Nitrosopumilus
8_1_Jan_SF_Bin67	Thaumarchaeota_Nitrosopumilus
8_1_Jan_SF_Bin71	Bathyarchaeota
8_1_Jan_SF_Bin74	Bathyarchaeota
