Original_Contig_Name	Bin	Sample
AB_1215_scaffold_0	NoBin	AB_1215
AB_1215_scaffold_1	NoBin	AB_1215
AB_1215_scaffold_10	NoBin	AB_1215
AB_1215_scaffold_100	NoBin	AB_1215
AB_1215_scaffold_1000	AB_1215_Bin_45	AB_1215
AB_1215_scaffold_10000	NoBin	AB_1215
AB_1215_scaffold_100000	NoBin	AB_1215
AB_1215_scaffold_100001	NoBin	AB_1215
AB_1215_scaffold_100002	AB_1215_Bin_149	AB_1215
AB_1215_scaffold_100003	AB_1215_Bin_125	AB_1215
AB_1215_scaffold_100004	AB_1215_Bin_136	AB_1215
AB_1215_scaffold_100005	NoBin	AB_1215
AB_1215_scaffold_100006	AB_1215_Bin_148	AB_1215
AB_1215_scaffold_100007	AB_1215_Bin_72	AB_1215
AB_1215_scaffold_100008	NoBin	AB_1215
AB_1215_scaffold_100009	NoBin	AB_1215
AB_1215_scaffold_10001	AB_1215_Bin_3	AB_1215
AB_1215_scaffold_100010	NoBin	AB_1215
AB_1215_scaffold_100011	NoBin	AB_1215
AB_1215_scaffold_100012	NoBin	AB_1215
AB_1215_scaffold_100013	NoBin	AB_1215
AB_1215_scaffold_100014	NoBin	AB_1215
AB_1215_scaffold_100015	NoBin	AB_1215
AB_1215_scaffold_100016	NoBin	AB_1215
AB_1215_scaffold_100017	AB_1215_Bin_141	AB_1215
AB_1215_scaffold_100018	AB_1215_Bin_5	AB_1215
AB_1215_scaffold_100019	AB_1215_Bin_133	AB_1215
AB_1215_scaffold_10002	NoBin	AB_1215
AB_1215_scaffold_100020	NoBin	AB_1215
AB_1215_scaffold_100021	NoBin	AB_1215
AB_1215_scaffold_100022	AB_1215_Bin_4	AB_1215
AB_1215_scaffold_100023	AB_1215_Bin_21	AB_1215
AB_1215_scaffold_100024	AB_1215_Bin_67	AB_1215
AB_1215_scaffold_100025	NoBin	AB_1215
AB_1215_scaffold_100026	AB_1215_Bin_106	AB_1215
AB_1215_scaffold_100027	NoBin	AB_1215
AB_1215_scaffold_100028	NoBin	AB_1215
AB_1215_scaffold_100029	NoBin	AB_1215
AB_1215_scaffold_10003	AB_1215_Bin_44	AB_1215
AB_1215_scaffold_100030	AB_1215_Bin_72	AB_1215
AB_1215_scaffold_100031	NoBin	AB_1215
AB_1215_scaffold_100032	NoBin	AB_1215
AB_1215_scaffold_100033	NoBin	AB_1215
AB_1215_scaffold_100034	NoBin	AB_1215
AB_1215_scaffold_100035	NoBin	AB_1215
AB_1215_scaffold_100036	NoBin	AB_1215
AB_1215_scaffold_100037	NoBin	AB_1215
AB_1215_scaffold_100038	NoBin	AB_1215
AB_1215_scaffold_100039	NoBin	AB_1215
AB_1215_scaffold_10004	NoBin	AB_1215
AB_1215_scaffold_100040	NoBin	AB_1215
AB_1215_scaffold_100041	NoBin	AB_1215
AB_1215_scaffold_100042	NoBin	AB_1215
AB_1215_scaffold_100043	NoBin	AB_1215
AB_1215_scaffold_100044	AB_1215_Bin_126	AB_1215
AB_1215_scaffold_100045	NoBin	AB_1215
AB_1215_scaffold_100046	NoBin	AB_1215
AB_1215_scaffold_100047	NoBin	AB_1215
AB_1215_scaffold_100048	NoBin	AB_1215
AB_1215_scaffold_100049	NoBin	AB_1215
AB_1215_scaffold_10005	NoBin	AB_1215
AB_1215_scaffold_100050	AB_1215_Bin_50	AB_1215
AB_1215_scaffold_100051	AB_1215_Bin_131	AB_1215
AB_1215_scaffold_100052	NoBin	AB_1215
AB_1215_scaffold_100053	NoBin	AB_1215
AB_1215_scaffold_100054	NoBin	AB_1215
AB_1215_scaffold_100055	NoBin	AB_1215
AB_1215_scaffold_100056	NoBin	AB_1215
AB_1215_scaffold_100057	AB_1215_Bin_126	AB_1215
AB_1215_scaffold_100058	NoBin	AB_1215
AB_1215_scaffold_100059	NoBin	AB_1215
AB_1215_scaffold_10006	NoBin	AB_1215
AB_1215_scaffold_100060	NoBin	AB_1215
AB_1215_scaffold_100061	NoBin	AB_1215
AB_1215_scaffold_100062	NoBin	AB_1215
AB_1215_scaffold_100063	NoBin	AB_1215
AB_1215_scaffold_100064	AB_1215_Bin_149	AB_1215
AB_1215_scaffold_100065	NoBin	AB_1215
AB_1215_scaffold_100066	NoBin	AB_1215
AB_1215_scaffold_100067	NoBin	AB_1215
AB_1215_scaffold_100068	NoBin	AB_1215
AB_1215_scaffold_100069	AB_1215_Bin_5	AB_1215
AB_1215_scaffold_10007	NoBin	AB_1215
AB_1215_scaffold_100070	NoBin	AB_1215
AB_1215_scaffold_100071	NoBin	AB_1215
AB_1215_scaffold_100072	NoBin	AB_1215
AB_1215_scaffold_100073	AB_1215_Bin_141	AB_1215
AB_1215_scaffold_100074	AB_1215_Bin_136	AB_1215
AB_1215_scaffold_100075	NoBin	AB_1215
AB_1215_scaffold_100076	NoBin	AB_1215
AB_1215_scaffold_100077	AB_1215_Bin_151	AB_1215
AB_1215_scaffold_100078	NoBin	AB_1215
AB_1215_scaffold_100079	NoBin	AB_1215
AB_1215_scaffold_10008	AB_1215_Bin_94	AB_1215
AB_1215_scaffold_100080	NoBin	AB_1215
AB_1215_scaffold_100081	NoBin	AB_1215
AB_1215_scaffold_100082	NoBin	AB_1215
AB_1215_scaffold_100083	NoBin	AB_1215
AB_1215_scaffold_100084	NoBin	AB_1215
AB_1215_scaffold_100085	NoBin	AB_1215
AB_1215_scaffold_100086	NoBin	AB_1215
AB_1215_scaffold_100087	NoBin	AB_1215
AB_1215_scaffold_100088	NoBin	AB_1215
AB_1215_scaffold_100089	AB_1215_Bin_67	AB_1215
AB_1215_scaffold_10009	AB_1215_Bin_13	AB_1215
AB_1215_scaffold_100090	NoBin	AB_1215
AB_1215_scaffold_100091	AB_1215_Bin_96	AB_1215
AB_1215_scaffold_100092	AB_1215_Bin_32	AB_1215
AB_1215_scaffold_100093	NoBin	AB_1215
AB_1215_scaffold_100094	AB_1215_Bin_71	AB_1215
AB_1215_scaffold_1000947	NoBin	AB_1215
AB_1215_scaffold_100095	AB_1215_Bin_4	AB_1215
AB_1215_scaffold_100096	NoBin	AB_1215
AB_1215_scaffold_100097	AB_1215_Bin_42	AB_1215
AB_1215_scaffold_100098	AB_1215_Bin_8	AB_1215
AB_1215_scaffold_100099	NoBin	AB_1215
AB_1215_scaffold_1001	AB_1215_Bin_15	AB_1215
AB_1215_scaffold_10010	AB_1215_Bin_115	AB_1215
AB_1215_scaffold_100100	NoBin	AB_1215
AB_1215_scaffold_100101	AB_1215_Bin_94	AB_1215
AB_1215_scaffold_100102	NoBin	AB_1215
AB_1215_scaffold_100103	NoBin	AB_1215
AB_1215_scaffold_100104	NoBin	AB_1215
AB_1215_scaffold_100105	NoBin	AB_1215
AB_1215_scaffold_100106	NoBin	AB_1215
AB_1215_scaffold_100107	AB_1215_Bin_11	AB_1215
AB_1215_scaffold_100108	NoBin	AB_1215
AB_1215_scaffold_100109	NoBin	AB_1215
AB_1215_scaffold_10011	NoBin	AB_1215
AB_1215_scaffold_100110	NoBin	AB_1215
AB_1215_scaffold_100111	NoBin	AB_1215
AB_1215_scaffold_100112	NoBin	AB_1215
AB_1215_scaffold_1001124	NoBin	AB_1215
AB_1215_scaffold_100113	NoBin	AB_1215
AB_1215_scaffold_100114	AB_1215_Bin_72	AB_1215
AB_1215_scaffold_100115	NoBin	AB_1215
AB_1215_scaffold_100116	AB_1215_Bin_4	AB_1215
AB_1215_scaffold_100117	NoBin	AB_1215
AB_1215_scaffold_100118	NoBin	AB_1215
AB_1215_scaffold_100119	NoBin	AB_1215
AB_1215_scaffold_10012	NoBin	AB_1215
AB_1215_scaffold_100120	NoBin	AB_1215
AB_1215_scaffold_100121	AB_1215_Bin_34	AB_1215
AB_1215_scaffold_100122	NoBin	AB_1215
AB_1215_scaffold_100123	NoBin	AB_1215
AB_1215_scaffold_100124	NoBin	AB_1215
AB_1215_scaffold_100125	AB_1215_Bin_13	AB_1215
AB_1215_scaffold_100126	NoBin	AB_1215
AB_1215_scaffold_100127	NoBin	AB_1215
AB_1215_scaffold_100128	NoBin	AB_1215
AB_1215_scaffold_100129	NoBin	AB_1215
AB_1215_scaffold_10013	NoBin	AB_1215
AB_1215_scaffold_100130	NoBin	AB_1215
AB_1215_scaffold_100131	NoBin	AB_1215
AB_1215_scaffold_100132	NoBin	AB_1215
AB_1215_scaffold_100133	NoBin	AB_1215
AB_1215_scaffold_100134	NoBin	AB_1215
AB_1215_scaffold_100135	NoBin	AB_1215
AB_1215_scaffold_100136	NoBin	AB_1215
AB_1215_scaffold_100137	AB_1215_Bin_124	AB_1215
AB_1215_scaffold_100138	NoBin	AB_1215
AB_1215_scaffold_100139	NoBin	AB_1215
AB_1215_scaffold_10014	AB_1215_Bin_72	AB_1215
AB_1215_scaffold_100140	NoBin	AB_1215
AB_1215_scaffold_100141	NoBin	AB_1215
AB_1215_scaffold_100142	NoBin	AB_1215
AB_1215_scaffold_100143	NoBin	AB_1215
AB_1215_scaffold_100144	AB_1215_Bin_66	AB_1215
AB_1215_scaffold_100145	AB_1215_Bin_96	AB_1215
AB_1215_scaffold_100146	NoBin	AB_1215
AB_1215_scaffold_100147	NoBin	AB_1215
AB_1215_scaffold_100148	NoBin	AB_1215
AB_1215_scaffold_100149	NoBin	AB_1215
AB_1215_scaffold_10015	NoBin	AB_1215
AB_1215_scaffold_100150	NoBin	AB_1215
AB_1215_scaffold_100151	NoBin	AB_1215
AB_1215_scaffold_100152	NoBin	AB_1215
AB_1215_scaffold_100153	NoBin	AB_1215
AB_1215_scaffold_100154	NoBin	AB_1215
AB_1215_scaffold_100155	NoBin	AB_1215
AB_1215_scaffold_100156	NoBin	AB_1215
AB_1215_scaffold_100157	NoBin	AB_1215
AB_1215_scaffold_100158	NoBin	AB_1215
AB_1215_scaffold_100159	NoBin	AB_1215
AB_1215_scaffold_10016	AB_1215_Bin_136	AB_1215
AB_1215_scaffold_100160	NoBin	AB_1215
