Bin	Size
13_Jan_SF_Bin1	1591234
13_Jan_SF_Bin10	1034448
13_Jan_SF_Bin12	3224671
13_Jan_SF_Bin13	1367424
13_Jan_SF_Bin14	4009375
13_Jan_SF_Bin2	2635527
13_Jan_SF_Bin21	1027532
13_Jan_SF_Bin23	2701726
13_Jan_SF_Bin29	3530601
13_Jan_SF_Bin30	2039709
13_Jan_SF_Bin31	1858293
13_Jan_SF_Bin32	2091057
13_Jan_SF_Bin36	587655
13_Jan_SF_Bin38	3469495
13_Jan_SF_Bin40	1985748
13_Jan_SF_Bin42	2043858
13_Jan_SF_Bin43	827374
13_Jan_SF_Bin44	2789299
13_Jan_SF_Bin46	2782618
13_Jan_SF_Bin49	1998775
13_Jan_SF_Bin5	1235133
13_Jan_SF_Bin52	1152128
13_Jan_SF_Bin53	3587961
13_Jan_SF_Bin54	1386555
13_Jan_SF_Bin58	2409072
13_Jan_SF_Bin61	1931951
13_Jan_SF_Bin62	1849098
13_Jan_SF_Bin63	1368298
13_Jan_SF_Bin8	2174515
13_July_SF_Bin1	5621688
13_July_SF_Bin10	1766590
13_July_SF_Bin11	3522926
13_July_SF_Bin18	2971875
13_July_SF_Bin19	3928984
13_July_SF_Bin2	4060805
13_July_SF_Bin23_1	2684507
13_July_SF_Bin23_2	1594463
13_July_SF_Bin24	2885368
13_July_SF_Bin26	3349080
13_July_SF_Bin27	4167273
13_July_SF_Bin28	1947280
13_July_SF_Bin30	1334251
13_July_SF_Bin31	2077165
13_July_SF_Bin32	3783840
13_July_SF_Bin33	1679948
13_July_SF_Bin34	1956880
13_July_SF_Bin35	4349880
13_July_SF_Bin36	2645015
13_July_SF_Bin37	3671939
